File,Line,URL,Link Text,Type,Status,Issue Type,HTTP Status,Relevance Score,Suggested Action,Repair Available,Suggested URL,Repair Confidence,Notes
2024-04-11-ethics-large-language-models.md,235,https://arxiv.org/abs/2112.04359,"""Ethical and social risks of harm from Language Models""",citation,valid,,200,,,No,,,
2024-04-11-ethics-large-language-models.md,235,https://arxiv.org/abs/2112.04359),,citation,broken,not_found,404,,,Yes,http://arxiv.org/api/83fyXir2FI5jJMGG8uMKr7C5p9I,85,Open access version available on arXiv
2024-04-11-ethics-large-language-models.md,236,https://proceedings.mlr.press/v80/bender18a/bender18a.pdf,"""On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?""",citation,valid,,200,,,No,,,
2024-04-11-ethics-large-language-models.md,236,https://proceedings.mlr.press/v80/bender18a/bender18a.pdf),,citation,broken,not_found,404,,,Yes,http://arxiv.org/api/ZXyXbGzW8VqxI45017nxZOWK5Gw,85,Open access version available on arXiv
2024-04-11-ethics-large-language-models.md,237,https://sitn.hms.harvard.edu/flash/2020/racial-discrimination-in-face-recognition-technology/,"""Racial Discrimination in Face Recognition Technology""",citation,valid,,200,,,No,,,
2024-04-11-ethics-large-language-models.md,237,https://sitn.hms.harvard.edu/flash/2020/racial-discrimination-in-face-recognition-technology/),,citation,valid,,200,,,No,,,
2024-04-11-ethics-large-language-models.md,238,https://www.nist.gov/publications/towards-standard-identifying-and-managing-bias-artificial-intelligence,"""Four Principles of Explainable Artificial Intelligence""",citation,valid,,200,,,No,,,
2024-04-11-ethics-large-language-models.md,238,https://www.nist.gov/publications/towards-standard-identifying-and-managing-bias-artificial-intelligence),,citation,broken,not_found,404,,,Yes,http://arxiv.org/api/ZXyXbGzW8VqxI45017nxZOWK5Gw,85,Open access version available on arXiv
2024-10-22-ai-edge-computing.md,298,https://arxiv.org/abs/2003.12488,Edge AI: A Survey,citation,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,298,https://arxiv.org/abs/2003.12488),,citation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,299,https://arxiv.org/abs/2010.11267,TinyML: Machine Learning with TensorFlow Lite,citation,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,299,https://arxiv.org/abs/2010.11267),,citation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,300,https://arxiv.org/abs/1902.01046,Federated Learning at the Network Edge,citation,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,300,https://arxiv.org/abs/1902.01046),,citation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,303,https://www.nvidia.com/en-us/edge-computing/,NVIDIA Edge Computing Resources,citation,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,303,https://www.nvidia.com/en-us/edge-computing/),,citation,broken,not_found,404,,,No,,,
