post_name,total_paragraphs,compliant_paragraphs,compliance_rate,avg_sentences,violation_count,word_count,priority_tier
2024-12-03-context-windows-llms.md,73,24,32.9%,2.7,49,3162,1
2024-01-30-securing-cloud-native-frontier.md,44,23,52.3%,4.0,21,3031,1
2025-10-06-automated-security-scanning-pipeline.md,62,8,12.9%,1.5,54,2515,1
2024-09-09-embodied-ai-teaching-agents.md,29,7,24.1%,2.4,22,2199,1
2025-07-29-building-mcp-standards-server.md,62,8,12.9%,1.6,54,2183,1
2025-07-22-supercharging-claude-cli-with-standards.md,51,9,17.6%,2.2,42,2081,1
2024-09-19-biomimetic-robotics.md,51,4,7.8%,1.4,47,1976,1
2024-05-30-ai-learning-resource-constrained.md,132,5,3.8%,1.2,127,9723,2
2024-06-25-designing-resilient-systems.md,121,2,1.7%,1.2,119,5975,2
2025-10-29-post-quantum-cryptography-homelab.md,89,19,21.3%,1.8,70,5928,2
2024-05-14-ai-new-frontier-cybersecurity.md,109,36,33.0%,2.8,73,4822,2
2024-08-02-quantum-computing-leap-forward.md,119,74,62.2%,2.9,45,4564,2
2025-05-10-llm-fine-tuning-homelab-guide.md,100,39,39.0%,2.2,61,3917,2
2024-04-04-retrieval-augmented-generation-rag.md,85,52,61.2%,2.8,33,3770,2
2025-10-17-progressive-context-loading-llm-workflows.md,100,23,23.0%,1.8,77,3625,2
2024-08-13-high-performance-computing.md,53,6,11.3%,1.5,47,3542,2
2024-10-22-ai-edge-computing.md,82,35,42.7%,2.4,47,3422,2
2024-03-20-transformer-architecture-deep-dive.md,53,17,32.1%,2.7,36,3321,2
2024-07-24-multimodal-foundation-models.md,47,5,10.6%,2.8,42,3195,2
2024-11-15-gpu-power-monitoring-homelab-ml.md,68,16,23.5%,2.2,52,3133,2
2024-10-10-blockchain-beyond-cryptocurrency.md,55,22,40.0%,2.5,33,2822,2
2025-07-15-vulnerability-management-scale-open-source.md,54,5,9.3%,1.5,49,2777,2
2024-04-19-mastering-prompt-engineering-llms.md,77,8,10.4%,2.0,69,2653,2
2024-03-05-cloud-migration-journey-guide.md,58,24,41.4%,2.5,34,2465,2
2024-02-09-deepfake-dilemma-ai-deception.md,49,16,32.7%,2.8,33,2441,2
2025-08-18-container-security-hardening-homelab.md,76,15,19.7%,1.7,61,2421,2
2024-01-08-writing-secure-code-developers-guide.md,41,22,53.7%,3.6,19,2405,2
2025-09-20-vulnerability-prioritization-epss-kev.md,36,11,30.6%,2.7,25,2314,2
2025-06-25-local-llm-deployment-privacy-first.md,37,6,16.2%,1.8,31,2132,2
2025-03-24-from-it-support-to-senior-infosec-engineer.md,28,7,25.0%,1.9,21,1528,2
2025-08-07-supercharging-development-claude-flow.md,41,2,4.9%,1.4,39,1500,2
2025-04-10-securing-personal-ai-experiments.md,31,1,3.2%,1.2,30,874,2
2024-07-09-zero-trust-architecture-implementation.md,138,28,20.3%,1.8,110,5852,3
2025-10-29-privacy-first-ai-lab-local-llms.md,102,22,21.6%,2.1,80,3926,3
2024-08-27-zero-trust-security-principles.md,79,6,7.6%,1.3,73,3327,3
2024-11-19-llms-smart-contract-vulnerability.md,74,32,43.2%,2.3,42,3230,3
2024-04-30-quantum-resistant-cryptography-guide.md,85,17,20.0%,1.8,68,3219,3
2024-09-15-running-llama-raspberry-pi-pipeload.md,89,20,22.5%,1.9,69,3161,3
2024-02-22-open-source-vs-proprietary-llms.md,49,13,26.5%,2.2,36,2948,3
2024-07-16-sustainable-computing-carbon-footprint.md,78,8,10.3%,1.4,70,2811,3
2024-01-18-demystifying-cryptography-beginners-guide.md,60,7,11.7%,1.4,53,2722,3
2025-01-12-privacy-preserving-federated-learning-homelab.md,71,20,28.2%,1.9,51,2704,3
2024-06-11-beyond-containers-future-deployment.md,97,18,18.6%,1.6,79,2677,3
2025-01-22-llm-agent-homelab-incident-response.md,58,12,20.7%,1.9,46,2555,3
2024-04-11-ethics-large-language-models.md,74,8,10.8%,1.5,66,2534,3
2025-08-09-ai-cognitive-infrastructure.md,45,5,11.1%,2.0,40,2317,3
2024-09-25-gvisor-container-sandboxing-security.md,84,6,7.1%,1.5,78,2222,3
2025-09-20-iot-security-homelab-owasp.md,39,10,25.6%,2.6,29,2007,3
2024-10-03-quantum-computing-defense.md,48,6,12.5%,1.5,42,1985,3
2024-11-05-pizza-calculator.md,54,6,11.1%,1.6,48,1980,3
2025-10-13-embodied-ai-robots-physical-world.md,38,7,18.4%,1.6,31,1964,3
2025-07-01-ebpf-security-monitoring-practical-guide.md,30,4,13.3%,1.6,26,1914,3
2025-02-24-continuous-learning-cybersecurity.md,31,5,16.1%,1.6,26,1777,3
2025-09-29-proxmox-high-availability-homelab.md,72,4,5.6%,1.2,68,1623,3
2025-09-08-zero-trust-vlan-segmentation-homelab.md,50,3,6.0%,1.3,47,1500,3
2025-07-08-implementing-dns-over-https-home-networks.md,50,2,4.0%,1.2,48,1359,3
2025-09-01-self-hosted-bitwarden-migration-guide.md,41,3,7.3%,1.3,38,1271,3
2025-03-10-raspberry-pi-security-projects.md,36,5,13.9%,1.5,31,1242,3
2025-04-24-building-secure-homelab-adventure.md,24,1,4.2%,1.3,23,1137,3
2025-09-14-threat-intelligence-mitre-attack-dashboard.md,35,3,8.6%,1.3,32,1082,3
2025-02-10-automating-home-network-security.md,33,1,3.0%,1.2,32,972,3
2025-08-25-network-traffic-analysis-suricata-homelab.md,25,3,12.0%,1.4,22,932,3
